#mT Tbq_01 Tbq_02 Tbq_03
863.5 0.5603825 0.5385575 0.5208275
864.0 0.55948 0.53768 0.51996
864.5 0.5585775000000001 0.5368025 0.5190925
865.0 0.557675 0.535925 0.5182249999999999
865.5 0.5567725 0.5350475 0.5173575
866.0 0.5558700000000001 0.53417 0.51649
866.5 0.5549675000000001 0.5332925 0.5156225
867.0 0.554065 0.532415 0.514755
867.5 0.5531625 0.5315375 0.5138875
868.0 0.55226 0.53066 0.51302
868.5 0.5513575000000001 0.5297825 0.5121525
869.0 0.550455 0.528905 0.511285
869.5 0.5495525 0.5280275 0.5104175
870.0 0.5486500000000001 0.52715 0.50955
870.5 0.5477475 0.5262725 0.5086825
871.0 0.546845 0.5253950000000001 0.507815
871.5 0.5459425 0.5245175 0.5069475
872.0 0.54504 0.52364 0.50608
872.5 0.5441375 0.5227625 0.5052125
873.0 0.543235 0.521885 0.504345
873.5 0.5423325 0.5210075000000001 0.5034775
874.0 0.5414300000000001 0.52013 0.50261
874.5 0.5405275 0.5192525 0.5017425
875.0 0.539625 0.518375 0.500875
875.5 0.5387225 0.5174974999999999 0.5000074999999999
876.0 0.53782 0.51662 0.49914000000000003
876.5 0.5369175 0.5157425 0.4982725
877.0 0.536015 0.514865 0.497405
877.5 0.5351125 0.5139875 0.49653749999999997
878.0 0.5342100000000001 0.51311 0.49567
878.5 0.5333075 0.5122325 0.4948025
879.0 0.532405 0.511355 0.493935
879.5 0.5315025 0.5104775 0.4930675
880.0 0.5306 0.5096 0.49219999999999997
880.5 0.5296975 0.5087225 0.49133249999999995
881.0 0.528795 0.507845 0.490465
881.5 0.5278925000000001 0.5069675 0.4895975
882.0 0.5269900000000001 0.50609 0.48873
882.5 0.5260875 0.5052125000000001 0.4878625
883.0 0.525185 0.504335 0.48699499999999996
883.5 0.5242825 0.5034575 0.4861275
884.0 0.5233800000000001 0.50258 0.48526
884.5 0.5224775 0.5017024999999999 0.4843925
885.0 0.521575 0.500825 0.483525
885.5 0.5206725000000001 0.4999475 0.48265749999999996
886.0 0.5197700000000001 0.49907 0.48179
886.5 0.5188675 0.49819250000000004 0.4809225
887.0 0.517965 0.497315 0.480055
887.5 0.5170625 0.4964375 0.4791875
888.0 0.5161600000000001 0.49556 0.47831999999999997
888.5 0.5152575 0.4946825 0.47745249999999995
889.0 0.514355 0.493805 0.476585
889.5 0.5134525000000001 0.49292749999999996 0.4757175
890.0 0.5125500000000001 0.49205 0.47485
890.5 0.5116475 0.4911725 0.4739825
891.0 0.510745 0.49029500000000004 0.47311499999999995
891.5 0.5098425 0.4894175 0.4722475
892.0 0.5089400000000001 0.48854 0.47138
892.5 0.5080375 0.4876625 0.4705125
893.0 0.507135 0.486785 0.469645
893.5 0.5062325000000001 0.4859075 0.46877749999999996
894.0 0.5053300000000001 0.48502999999999996 0.46791
894.5 0.5044275 0.4841525 0.46704249999999997
895.0 0.503525 0.483275 0.466175
895.5 0.5026225 0.48239750000000003 0.4653075
896.0 0.50172 0.48152 0.46443999999999996
896.5 0.5008175 0.4806425 0.4635725
897.0 0.499915 0.479765 0.462705
897.5 0.4990125 0.4788875 0.4618375
898.0 0.49811000000000005 0.47801 0.46097
898.5 0.4972075 0.47713249999999996 0.46010249999999997
899.0 0.496305 0.476255 0.45923499999999995
899.5 0.4954025 0.4753775 0.4583675
900.0 0.49450000000000005 0.47450000000000003 0.4575
900.5 0.4935975 0.4736225 0.4566325
901.0 0.492695 0.47274499999999997 0.455765
901.5 0.4917925 0.4718675 0.45489749999999995
902.0 0.49089000000000005 0.47099 0.45403
902.5 0.4899875 0.4701125 0.4531625
903.0 0.489085 0.46923499999999996 0.452295
903.5 0.4881825 0.4683575 0.4514275
904.0 0.48728000000000005 0.46748 0.45055999999999996
904.5 0.4863775 0.46660250000000003 0.4496925
905.0 0.485475 0.465725 0.448825
905.5 0.4845725 0.46484749999999997 0.4479575
906.0 0.48367000000000004 0.46397 0.44709
906.5 0.4827675 0.4630925 0.44622249999999997
907.0 0.481865 0.462215 0.44535499999999995
907.5 0.4809625 0.46133749999999996 0.4444875
908.0 0.48006000000000004 0.46046 0.44362
908.5 0.4791575 0.4595825 0.4427525
909.0 0.478255 0.45870500000000003 0.441885
909.5 0.4773525 0.4578275 0.44101749999999995
910.0 0.47645000000000004 0.45694999999999997 0.44015
910.5 0.4755475 0.4560725 0.4392825
911.0 0.474645 0.455195 0.438415
911.5 0.4737425 0.4543175 0.4375475
912.0 0.47284000000000004 0.45343999999999995 0.43667999999999996
912.5 0.4719375 0.4525625 0.4358125
913.0 0.47103500000000004 0.451685 0.43494499999999997
913.5 0.47013250000000006 0.4508075 0.4340775
914.0 0.46923000000000004 0.44993 0.43321
914.5 0.4683275 0.44905249999999997 0.43234249999999996
915.0 0.46742500000000003 0.448175 0.43147499999999994
915.5 0.46652250000000006 0.4472975 0.4306075
916.0 0.46562000000000003 0.44642 0.42974
916.5 0.4647175 0.44554249999999995 0.4288725
917.0 0.46381500000000003 0.444665 0.42800499999999997
917.5 0.46291250000000006 0.4437875 0.42713749999999995
918.0 0.46201000000000003 0.44291 0.42627
918.5 0.4611075 0.4420325 0.4254025
919.0 0.46020500000000003 0.44115499999999996 0.424535
919.5 0.45930250000000006 0.4402775 0.4236675
920.0 0.45840000000000003 0.4394 0.42279999999999995
920.5 0.4574975 0.4385225 0.4219325
921.0 0.45659500000000003 0.43764499999999995 0.42106499999999997
921.5 0.45569250000000006 0.4367675 0.4201975
922.0 0.45479 0.43589 0.41933
922.5 0.4538875 0.4350125 0.41846249999999996
923.0 0.452985 0.434135 0.41759499999999994
923.5 0.45208250000000005 0.43325749999999996 0.4167275
924.0 0.45118 0.43238 0.41586
924.5 0.4502775 0.4315025 0.4149925
925.0 0.449375 0.430625 0.41412499999999997
925.5 0.44847250000000005 0.42974749999999995 0.41325749999999994
926.0 0.44757 0.42887 0.41239
926.5 0.4466675 0.4279925 0.4115225
927.0 0.445765 0.427115 0.410655
927.5 0.44486250000000005 0.4262375 0.40978749999999997
928.0 0.44396 0.42535999999999996 0.40891999999999995
928.5 0.4430575 0.4244825 0.4080525
929.0 0.442155 0.423605 0.407185
929.5 0.44125250000000005 0.4227275 0.4063175
930.0 0.44035 0.42184999999999995 0.40545
930.5 0.4394475 0.42097249999999997 0.40458249999999996
931.0 0.438545 0.420095 0.403715
931.5 0.43764250000000005 0.4192175 0.40284749999999997
932.0 0.43674 0.41834 0.40198
932.5 0.4358375 0.41746249999999996 0.4011125
933.0 0.434935 0.416585 0.40024499999999996
933.5 0.43403250000000004 0.4157075 0.39937749999999994
934.0 0.43313 0.41483 0.39851
934.5 0.4322275 0.41395249999999995 0.3976425
