mass sin_l res ratio channel width
1186.372745490982 0.0501002004008016 1 0.14894250819183794 1 0.0011349442667268146
1248.0961923847694 0.09619238476953906 1 0.2341462169890612 2 0.0046402564503373305
1175.1503006012024 0.16432865731462926 1 0.5053929121725732 1 0.011975269073049074
900.2004008016032 0.8617234468937875 0 3.8346776985052786 3 0.1902202975580067
1921.4428857715432 0.32665330661322645 -1 -1.0 -1 0.12826347784875555
1854.108216432866 0.5571142284569138 -1 -1.0 -1 0.34719111696840926
1335.0701402805612 0.5470941883767535 0 1.2100831178331721 2 0.1721752836039008
1009.6192384769539 0.5811623246492985 0 2.8375733855185907 1 0.10968618121240382
953.5070140280561 0.3887775551102204 0 1.7785111844517782 1 0.043621200826146504
1124.6492985971945 0.8276553106212424 0 3.0134987230937598 1 0.27766386954434696
757.1142284569139 0.5090180360721442 0 1.9678096707216044 3 0.04620632452746207
813.2264529058116 0.33266533066132264 0 1.7701002345915977 1 0.022936023014607374
1492.1843687374749 0.8056112224448897 0 1.186674903496964 2 0.4679685996791999
790.7815631262525 0.9118236472945891 0 3.5873361829134622 3 0.16249158908817593
928.2565130260521 0.7975951903807614 0 3.487556957588503 1 0.17367332390727708
1520.2404809619238 0.7895791583166332 0 1.1195158876566735 4 0.46682474029144505
1335.0701402805612 0.4889779559118236 0 1.0815394899314796 2 0.13753877932941316
1138.677354709419 0.7955911823647294 0 2.7559875043387696 1 0.2631633753005962
919.8396793587174 0.8296593186372745 0 3.575129533678756 1 0.18440333879100448
1663.3266533066133 0.7535070140280561 -1 -1.0 -1 0.5100454348758487
1071.3426853707415 0.22444889779559116 1 0.9523809523809522 1 0.018484253436824413
1365.931863727455 0.20440881763527052 1 0.43515062981520475 2 0.025178395101262924
978.7575150300602 0.28456913827655306 0 1.3648596693579391 1 0.024667507836013795
1186.372745490982 0.06412825651302605 1 0.19064641048555256 1 0.0018594926866052136
919.8396793587174 0.18036072144288576 1 0.77720207253886 1 0.008714713553450116
1483.7675350701402 0.9138276553106212 1 1.381861854435641 2 0.5952692627996783
1329.4589178356714 0.48296593186372744 0 1.0750410563152344 2 0.13303268014408529
1489.37875751503 0.16032064128256512 1 0.23821033581952633 2 0.018462372839990866
1503.4068136272545 0.9619238476953907 0 1.3472573082422947 4 0.677397340796159
1329.4589178356714 0.5490981963927856 0 1.2222458482588143 2 0.17195918621403464
1012.4248496993988 0.17034068136272543 1 0.8260447035957239 1 0.009477130163198826
880.5611222444891 0.8597194388777555 0 3.7651395471300675 1 0.18085240278507198
1725.050100200401 0.39078156312625245 -1 -1.0 -1 0.14766786778972701
751.5030060120241 0.3987975951903807 0 1.5372580205239856 3 0.02792036247889301
701.002004008016 0.939879759519038 0 3.531228604632231 3 0.1338153060629154
1820.4408817635272 0.2665330661322645 -1 -1.0 -1 0.07658119492380495
832.8657314629259 0.3366733466933867 0 1.68573148705599 1 0.02469470018869682
656.1122244488978 0.2625250501002004 1 0.619916207836466 0 0.009062089787722893
773.9478957915832 0.4048096192384769 0 1.5786640644447558 3 0.030609955242076162
1368.7374749499 0.20841683366733466 1 0.4420223202966552 2 0.026284862655103696
1135.871743486974 0.9819639278557113 0 3.434980722046966 1 0.3988806654909563
1363.1262525050101 0.6312625250501002 0 1.3489153991047733 2 0.23912976102000896
1910.2204408817636 0.6773547094188376 -1 -1.0 -1 0.5450434945766911
667.3346693386774 0.565130260521042 0 1.3344761115258272 0 0.04355046283017131
1152.7054108216435 0.751503006012024 0 2.4826216484607735 1 0.2407635967388787
614.0280561122245 0.17034068136272543 1 0.40223570737480613 0 0.0033062089769439786
1276.1523046092184 0.7374749498997996 0 1.7446674968485851 2 0.2853873955649371
858.1162324649299 0.3106212424849699 0 1.4456258160790896 1 0.022372923875753677
661.7234468937876 0.05611222444889779 1 0.13250117419405377 0 0.0004216427722740918
