m k res ratio channel r
1989.8989898989898 1.108242593185901 -1 -1.108242593185901 -1 0.6442015792085802
2117.1717171717173 0.9939504825724617 -1 -0.9939504825724617 -1 0.34733518784355244
2286.868686868687 0.6739759101122941 -1 -0.6739759101122941 -1 0.08928613557633977
2032.3232323232323 0.9088694841618346 -1 -0.9088694841618346 -1 0.3744388002690638
2145.4545454545455 0.7505227878174566 -1 -0.7505227878174566 -1 1.2301728802954222
1381.8181818181818 0.997809996561932 0 1.6798903597872896 30 0.18640288000568425
2244.4444444444443 0.16916653466709305 -1 -0.16916653466709305 -1 1.593432560222188
1749.4949494949497 0.33488673147493975 -1 -0.33488673147493975 -1 0.02222526296110247
2343.4343434343436 0.9158863866263025 -1 -0.9158863866263025 -1 0.3277093125197939
1268.6868686868688 1.013183026811673 0 1.6384022019071822 30 0.33243444992995563
1622.2222222222222 0.9964681968006008 0 1.4137056853774008 30 0.38124665871341684
1494.949494949495 0.5213181418386392 1 0.8910868968176489 30 0.005842103484383679
1070.7070707070707 0.8253062811742725 0 1.5201113839066676 31 0.07491305782002143
1777.7777777777778 0.7367510918424955 -1 -0.7367510918424955 -1 0.08578088859652142
1876.7676767676767 1.0060793961018784 -1 -1.0060793961018784 -1 0.46561008155554134
1014.1414141414141 1.0849847837870117 0 1.9765269725911236 31 0.2019134017041449
1014.1414141414141 0.5681673018523886 0 1.0350357109487531 31 0.010752784706137893
2074.747474747475 0.8519112361459957 -1 -0.8519112361459957 -1 0.3200788528720162
1707.0707070707072 0.9924094227034244 0 1.4169963143963742 30 0.5869420634187986
1155.5555555555557 0.6046766341227666 0 1.0732140753534718 31 0.019003125519403072
2329.2929292929293 1.0077357732483285 -1 -1.0077357732483285 -1 1.2355291191675168
2216.161616161616 0.16155353991734986 -1 -0.16155353991734986 -1 0.001426562216921177
1763.6363636363635 0.5850694955279496 -1 -0.5850694955279496 -1 0.9251238168589907
1777.7777777777778 1.0351796530490267 -1 -1.0351796530490267 -1 0.3313937063615911
2131.3131313131316 0.5504624983711529 -1 -0.5504624983711529 -1 0.07755231871608986
