mass sin_l res ratio channel width
1549.8997995991986 0.09819639278557113 1 0.151799776959561 0 0.007326592831151737
1903.4068136272545 0.6673346693386772 -1 -0.6673346693386772 -1 0.5103437739325392
2377.555110220441 0.9158316633266532 -1 -0.9158316633266532 -1 1.4997172725398742
1490.9819639278558 0.19839679358717432 1 0.33904911810896843 0 0.027676774915622596
1799.5991983967938 0.9178356713426853 -1 -0.9178356713426853 -1 0.8629623868922827
2127.855711422846 0.21643286573146292 -1 -0.21643286573146292 -1 0.06708813515789208
2071.743486973948 0.9739478957915831 -1 -0.9739478957915831 -1 1.2878277717740798
1283.366733466934 0.33466933867735466 1 0.5400241299360242 0 0.058347495213925515
1979.1583166332666 0.014028056112224447 -1 -0.014028056112224447 -1 0.00024382000478667665
1255.310621242485 0.44088176352705405 1 0.7143463379858552 0 0.09687975177893834
1645.2905811623245 0.845691382765531 0 1.207380433063436 0 0.6123727291710992
1687.374749498998 0.08216432865731463 1 0.11867328671148289 0 0.006079916964419794
1544.2885771543088 0.501002004008016 1 0.7829265048451898 0 0.18933869589406
2237.2745490981965 0.843687374749499 -1 -0.843687374749499 -1 1.1269835463644817
1454.5090180360721 0.6172344689378757 0 1.0528307175838407 0 0.25493702861738665
1406.813627254509 0.12625250501002003 1 0.21482208771905736 0 0.009978158816496214
1676.1523046092184 0.9719438877755511 0 1.3994642669245028 0 0.8394928248647247
1249.6993987975952 0.3006012024048096 1 0.48745684905524406 0 0.044635290372432496
2400.0 0.5731462925851702 -1 -0.5731462925851702 -1 0.5985087386302245
1628.4569138276554 0.9859719438877754 0 1.4011933253125508 0 0.815432434123762
2186.7735470941884 0.8036072144288576 -1 -0.8036072144288576 -1 0.9768115098804878
1796.7935871743489 0.5591182364729459 -1 -0.5591182364729459 -1 0.31923761594549344
2301.8036072144287 0.13627254509018036 -1 -0.13627254509018036 -1 0.031122155047771112
1014.0280561122245 0.4989979959919839 1 0.9090093919562249 1 0.08097422694473358
2341.082164328657 0.33266533066132264 -1 -0.33266533066132264 -1 0.19185143951061845
1468.5370741482966 0.8637274549098196 0 1.4743484801072817 0 0.508889724193529
1437.6753507014027 0.7875751503006011 0 1.3422166705429153 0 0.4055128058411862
1808.0160320641282 0.56312625250501 -1 -0.56312625250501 -1 0.3278888767082151
1886.573146292585 0.7915831663326652 -1 -0.7915831663326652 -1 0.7054274258610903
2153.1062124248497 0.7234468937875751 -1 -0.7234468937875751 -1 0.767466468045881
1381.563126252505 0.052104208416833664 1 0.08770891576576438 0 0.001639014814204592
