mass br_wb br_zt br_ht s_r
1770 0.00938455181856585 0.4887022043298858 0.5019132438515482 0.1
1771 0.009374285264236773 0.4887145735813557 0.5019111411544075 0.1
1772 0.009364035387474226 0.48872692272730933 0.5019090418852163 0.1
1773 0.009353802152496872 0.4887392518108851 0.5019069460366181 0.1
1774 0.009343585523618464 0.48875156087510635 0.5019048536012751 0.1
1775 0.009333385465247614 0.48876384996288275 0.5019027645718696 0.1
1776 0.009323201941887455 0.4887761191170095 0.5019006789411031 0.1
1777 0.009313034918135328 0.48878836838016904 0.5018985967016956 0.1
1778 0.009302884358682555 0.4888005977949304 0.5018965178463871 0.1
1779 0.009292750228314033 0.4888128074037491 0.5018944423679369 0.1
1780 0.009282632491908045 0.4888249972489695 0.5018923702591225 0.1
1781 0.009272531114435895 0.4888371673728227 0.5018903015127414 0.1
1782 0.00926244606096164 0.4888493178174293 0.5018882361216089 0.1
1783 0.009252377296641806 0.4888614486247975 0.5018861740785606 0.1
1784 0.009242324786725086 0.48887355983682507 0.5018841153764498 0.1
1785 0.00923228849655202 0.4888856514952988 0.5018820600081492 0.1
1786 0.009222268391554782 0.4888977236418953 0.5018800079665499 0.1
1787 0.009212264437256808 0.48890977631818133 0.5018779592445619 0.1
1788 0.009202276599272568 0.488921809565614 0.5018759138351135 0.1
1789 0.009192304843307249 0.48893382342554076 0.501873871731152 0.1
1790 0.009182349135156472 0.48894581793920067 0.5018718329256429 0.1
1791 0.009172409440706034 0.48895779314772386 0.5018697974115701 0.1
1792 0.009162485725931587 0.4889697490921321 0.5018677651819362 0.1
1793 0.009152577956898392 0.4889816858133398 0.5018657362297618 0.1
1794 0.009142686099761 0.48899360335215314 0.501863710548086 0.1
1795 0.009132810120763 0.4890055017492713 0.5018616881299657 0.1
1796 0.009122949986236757 0.48901738104528686 0.5018596689684763 0.1
1797 0.009113105662603076 0.48902924128068537 0.5018576530567116 0.1
1798 0.009103277116370979 0.4890410824958462 0.5018556403877827 0.1
1799 0.009093464314137396 0.4890529047310434 0.5018536309548193 0.1
1800 0.009083667222586928 0.48906470802644436 0.5018516247509688 0.1
1801 0.00907388580849151 0.4890764924221122 0.5018496217693962 0.1
1802 0.009064120038710217 0.48908825795800465 0.5018476220032851 0.1
1803 0.009054369880188927 0.48910000467397496 0.5018456254458362 0.1
1804 0.009044635299960085 0.4891117326097721 0.5018436320902678 0.1
1805 0.00903491626514241 0.4891234418050409 0.5018416419298166 0.1
1806 0.009025212742940655 0.48913513229932315 0.5018396549577362 0.1
1807 0.009015524700645322 0.48914680413205647 0.5018376711672982 0.1
1808 0.009005852105632381 0.4891584573425763 0.5018356905517912 0.1
1809 0.00899619492536303 0.489170091970115 0.501833713104522 0.1
1810 0.008986553127383416 0.4891817080538026 0.5018317388188139 0.1
1811 0.008976926679324381 0.4891933056326672 0.5018297676880084 0.1
1812 0.00896731554890117 0.4892048847456353 0.5018277997054635 0.1
1813 0.008957719703913224 0.4892164454315318 0.501825834864555 0.1
1814 0.00894813911224385 0.48922798772908055 0.5018238731586757 0.1
1815 0.008938573741860023 0.4892395116769046 0.5018219145812354 0.1
1816 0.008929023560812075 0.48925101731352677 0.501819959125661 0.1
1817 0.008919488537233483 0.4892625046773697 0.5018180067853969 0.1
1818 0.008909968639340573 0.4892739738067557 0.5018160575539038 0.1
1819 0.008900463835432281 0.4892854247399084 0.5018141114246594 0.1
1820 0.008890974093889918 0.4892968575149515 0.5018121683911587 0.1
1821 0.008881499383176854 0.48930827216991 0.501810228446913 0.1
1822 0.00887203967183833 0.48931966874271043 0.5018082915854511 0.1
1823 0.008862594928501175 0.48933104727118104 0.5018063578003177 0.1
1824 0.008853165121873558 0.48934240779305194 0.5018044270850747 0.1
1825 0.00884375022074471 0.4893537503459552 0.5018024994333001 0.1
1826 0.00883435019398474 0.48936507496742626 0.501800574838589 0.1
1827 0.008824965010544321 0.48937638169490266 0.5017986532945529 0.1
1828 0.008815594639454468 0.4893876705657261 0.5017967347948195 0.1
1829 0.008806239049826286 0.48939894161714087 0.5017948193330329 0.1
1830 0.008796898210850744 0.4894101948862952 0.501792906902854 0.1
1831 0.008787572091798378 0.48942143041024205 0.5017909974979595 0.1
1832 0.008778260662019104 0.4894326482259382 0.5017890911120427 0.1
1833 0.00876896389094195 0.4894438483702451 0.5017871877388129 0.1
1834 0.008759681748074786 0.48945503087992953 0.5017852873719957 0.1
1835 0.008750414203004132 0.489466195791663 0.5017833900053329 0.1
1836 0.008741161225394884 0.4894773431420231 0.501781495632582 0.1
1837 0.008731922784990067 0.4894884729674929 0.501779604247517 0.1
1838 0.008722698851610637 0.489499585304462 0.5017777158439273 0.1
1839 0.008713489395155191 0.48951068018922606 0.5017758304156188 0.1
1840 0.00870429438559976 0.48952175765798733 0.501773947956413 0.1
1841 0.008695113792997563 0.48953281774685553 0.5017720684601469 0.1
1842 0.008685947587478772 0.48954386049184717 0.501770191920674 0.1
1843 0.008676795739250278 0.4895548859288868 0.501768318331863 0.1
1844 0.00866765821859545 0.48956589409380646 0.501766447687598 0.1
1845 0.008658534995873912 0.48957688502234614 0.5017645799817799 0.1
1846 0.008649426041521293 0.4895878587501548 0.5017627152083239 0.1
1847 0.008640331326049014 0.4895988153127896 0.5017608533611614 0.1
1848 0.00863125082004404 0.48960975474571694 0.501758994434239 0.1
1849 0.008622184494168668 0.4896206770843122 0.5017571384215191 0.1
1850 0.00861313231916028 0.4896315823638604 0.5017552853169792 0.1
1851 0.008604094265831126 0.4896424706195567 0.5017534351146122 0.1
1852 0.00859507030506808 0.4896533418865054 0.5017515878084265 0.1
1853 0.008586060407832424 0.489664196199722 0.5017497433924456 0.1
1854 0.008577064545159633 0.48967503359413245 0.5017479018607078 0.1
1855 0.008568082688159128 0.48968585410457316 0.5017460632072678 0.1
1856 0.008559114808014067 0.48969665776579235 0.5017442274261936 0.1
1857 0.008550160875981101 0.4897074446124488 0.5017423945115701 0.1
1858 0.008541220863390167 0.4897182146791138 0.5017405644574962 0.1
1859 0.008532294741644271 0.48972896800027005 0.5017387372580857 0.1
1860 0.008523382482219252 0.48973970461031285 0.501736912907468 0.1
1861 0.008514484056663565 0.4897504245435495 0.5017350913997869 0.1
1862 0.008505599436598066 0.4897611278342007 0.5017332727292011 0.1
1863 0.008496728593715782 0.4897718145163997 0.5017314568898845 0.1
1864 0.008487871499781698 0.48978248462419305 0.5017296438760251 0.1
1865 0.008479028126632546 0.4897931381915411 0.5017278336818264 0.1
1866 0.008470198446176596 0.4898037752523176 0.5017260263015058 0.1
1867 0.008461382430393393 0.48981439584031106 0.5017242217292956 0.1
1868 0.008452580051333583 0.48982499998922313 0.5017224199594433 0.1
1869 0.008443791281118718 0.4898355877326715 0.5017206209862097 0.1
1870 0.008435016091940977 0.48984615910418733 0.5017188248038716 0.1
1871 0.008426254456063004 0.48985671413721804 0.501717031406719 0.1
1872 0.008417506345817687 0.48986725286512567 0.5017152407890566 0.1
1873 0.008408771733607915 0.4898777753211878 0.5017134529452042 0.1
1874 0.008400050591906422 0.4898882815385985 0.5017116678694952 0.1
1875 0.008391342893255528 0.48989877155046746 0.501709885556277 0.1
1876 0.008382648610266939 0.48990924538982056 0.5017081059999124 0.1
1877 0.008373967715621562 0.48991970308960103 0.5017063291947773 0.1
1878 0.008365300182069282 0.48993014468266843 0.5017045551352622 0.1
1879 0.008356645982428733 0.4899405702017992 0.501702783815772 0.1
1880 0.008348005089587135 0.48995097967968787 0.501701015230725 0.1
1881 0.008339377476500055 0.4899613731489458 0.5016992493745541 0.1
1882 0.008330763116191202 0.4899717506421029 0.501697486241706 0.1
1883 0.008322161981752247 0.48998211219160676 0.501695725826641 0.1
1884 0.008313574046342592 0.48999245782982337 0.501693968123834 0.1
1885 0.008304999283189196 0.4900027875890374 0.5016922131277735 0.1
1886 0.008296437665586328 0.49001310150145255 0.501690460832961 0.1
1887 0.008287889166895412 0.49002339959919083 0.5016887112339137 0.1
1888 0.008279353760544807 0.4900336819142951 0.5016869643251601 0.1
1889 0.008270831420029597 0.49004394847872584 0.5016852201012446 0.1
1890 0.008262322118911404 0.4900541993243647 0.5016834785567238 0.1
1891 0.008253825830818188 0.49006443448301296 0.5016817396861688 0.1
1892 0.008245342529444052 0.4900746539863922 0.5016800034841638 0.1
1893 0.008236872188549007 0.4900848578661447 0.5016782699453063 0.1
1894 0.008228414781958848 0.4900950461538331 0.5016765390642081 0.1
1895 0.008219970283564894 0.4901052188809413 0.5016748108354938 0.1
1896 0.008211538667323826 0.49011537607887407 0.501673085253802 0.1
1897 0.008203119907257467 0.4901255177789585 0.5016713623137841 0.1
1898 0.008194713977452603 0.49013564401244264 0.5016696420101048 0.1
1899 0.0081863208520608 0.4901457548104964 0.5016679243374428 0.1
1900 0.008177940505298206 0.4901558502042125 0.5016662092904893 0.1
1901 0.00816957291144532 0.49016593022460525 0.5016644968639493 0.1
1902 0.008161218044846869 0.4901759949026124 0.5016627870525409 0.1
1903 0.008152875879911555 0.49018604426909385 0.5016610798509946 0.1
1904 0.0081445463911119 0.49019607835483286 0.5016593752540552 0.1
1905 0.008136229552984056 0.49020609719053615 0.5016576732564798 0.1
1906 0.008127925340127589 0.4902161008068339 0.5016559738530385 0.1
1907 0.008119633727205327 0.49022608923427974 0.5016542770385148 0.1
1908 0.008111354688943133 0.49023606250335205 0.5016525828077047 0.1
1909 0.00810308820012977 0.4902460206444523 0.5016508911554179 0.1
1910 0.008094834235616648 0.49025596368790736 0.501649202076476 0.1
1911 0.008086592770317704 0.4902658916639684 0.501647515565714 0.1
1912 0.008078363779209171 0.4902758046028114 0.5016458316179794 0.1
1913 0.008070147237329416 0.4902857025345374 0.501644150228133 0.1
1914 0.008061943119778751 0.4902955854891733 0.5016424713910479 0.1
1915 0.008053751401719243 0.490305453496671 0.5016407951016097 0.1
1916 0.008045572058374544 0.49031530658690825 0.5016391213547172 0.1
1917 0.008037405065029708 0.49032514478968875 0.5016374501452815 0.1
1918 0.008029250397030977 0.4903349681347428 0.5016357814682261 0.1
1919 0.008021108029785673 0.49034477665172654 0.5016341153184878 0.1
1920 0.008012977938761916 0.49035457037022323 0.5016324516910149 0.1
1921 0.008004860099488559 0.4903643493197427 0.5016307905807688 0.1
1922 0.007996754487554917 0.4903741135297221 0.5016291319827231 0.1
1923 0.007988661078610624 0.49038386302952547 0.501627475891864 0.1
1924 0.007980579848365464 0.4903935978484449 0.5016258223031896 0.1
1925 0.007972510772589194 0.49040331801569964 0.5016241712117112 0.1
1926 0.007964453827111336 0.4904130235604372 0.5016225226124514 0.1
1927 0.007956408987821031 0.4904227145117331 0.5016208765004458 0.1
1928 0.007948376230666875 0.49043239089859125 0.5016192328707418 0.1
1929 0.007940355531656696 0.4904420527499442 0.5016175917183991 0.1
1930 0.007932346866857435 0.49045170009465316 0.5016159530384894 0.1
1931 0.007924350212394937 0.4904613329615082 0.5016143168260969 0.1
1932 0.007916365544453787 0.4904709513792286 0.5016126830763177 0.1
1933 0.00790839283927714 0.49048055537646335 0.5016110517842596 0.1
1934 0.007900432073166552 0.49049014498179083 0.5016094229450426 0.1
1935 0.0078924832224818 0.4904997202237192 0.5016077965537991 0.1
1936 0.00788454626364073 0.4905092811306863 0.501606172605673 0.1
1937 0.00787662117311907 0.49051882773106115 0.5016045510958199 0.1
1938 0.007868707927450255 0.490528360053142 0.5016029320194076 0.1
1939 0.007860806503225272 0.49053787812515826 0.5016013153716165 0.1
1940 0.0078529168770925 0.49054738197527065 0.5015997011476369 0.1
1941 0.007845039025757516 0.49055687163156997 0.5015980893426726 0.1
1942 0.007837172925982955 0.4905663471220789 0.501596479951938 0.1
1943 0.007829318554588323 0.49057580847475146 0.5015948729706602 0.1
1944 0.007821475888449845 0.490585255717473 0.5015932683940771 0.1
1945 0.007813644904500285 0.4905946888780609 0.5015916662174388 0.1
1946 0.007805825579728803 0.4906041079842646 0.5015900664360066 0.1
1947 0.007798017891180774 0.49061351306376566 0.5015884690450535 0.1
1948 0.007790221815957626 0.4906229041441782 0.5015868740398641 0.1
1949 0.007782437331216668 0.4906322812530489 0.5015852814157344 0.1
1950 0.007774664414170965 0.49064164441785696 0.5015836911679721 0.1
1951 0.007766903042089123 0.49065099366601506 0.5015821032918958 0.1
1952 0.00775915319229518 0.4906603290248685 0.5015805177828363 0.1
1953 0.007751414842168393 0.4906696505216968 0.5015789346361348 0.1
1954 0.007743687969143131 0.49067895818371215 0.5015773538471447 0.1
1955 0.00773597255070866 0.49068825203806127 0.5015757754112301 0.1
1956 0.007728268564409039 0.4906975321118244 0.5015741993237667 0.1
1957 0.007720575987842911 0.4907067984320158 0.5015726255801413 0.1
1958 0.0077128947986633885 0.49071605102558474 0.5015710541757519 0.1
1959 0.007705224974577858 0.4907252899194147 0.5015694851060075 0.1
1960 0.007697566493347837 0.4907345151403234 0.5015679183663289 0.1
1961 0.007689919332788856 0.49074372671506417 0.5015663539521471 0.1
1962 0.007682283470770221 0.49075292467032516 0.5015647918589047 0.1
1963 0.007674658885214938 0.4907621090327296 0.5015632320820554 0.1
1964 0.007667045554099497 0.4907712798288371 0.5015616746170635 0.1
1965 0.007659443455453766 0.4907804370851416 0.5015601194594046 0.1
1966 0.0076518525673608005 0.49078958082807367 0.5015585666045654 0.1
1967 0.007644272867956706 0.49079871108400025 0.501557016048043 0.1
1968 0.007636704335430506 0.49080782787922356 0.501555467785346 0.1
1969 0.007629146948023932 0.490816931239983 0.5015539218119931 0.1
1970 0.00762160068403132 0.4908260211924543 0.5015523781235143 0.1
1971 0.007614065521799462 0.4908350977627498 0.5015508367154509 0.1
1972 0.00760654143972742 0.4908441609769191 0.5015492975833536 0.1
1973 0.007599028416266397 0.4908532108609486 0.501547760722785 0.1
1974 0.007591526429919589 0.49086224744076234 0.5015462261293181 0.1
1975 0.007584035459242027 0.49087127074222164 0.5015446937985364 0.1
1976 0.007576555482840433 0.4908802807911256 0.5015431637260339 0.1
1977 0.007569086479373075 0.49088927761321116 0.5015416359074157 0.1
1978 0.0075616284275496016 0.49089826123415325 0.5015401103382972 0.1
1979 0.0075541813061309245 0.4909072316795649 0.5015385870143041 0.1
1980 0.00754674509392904 0.4909161889749978 0.5015370659310732 0.1
1981 0.007539319769806904 0.490925133145942 0.5015355470842511 0.1
1982 0.007531905312678277 0.4909340642178263 0.5015340304694954 0.1
1983 0.00752450170150757 0.49094298221601834 0.5015325160824741 0.1
1984 0.007517108915309736 0.4909518871658254 0.501531003918865 0.1
1985 0.007509726933150075 0.49096077909249297 0.501529493974357 0.1
1986 0.007502355734144124 0.4909696580212069 0.501527986244649 0.1
1987 0.007494995297457502 0.49097852397709246 0.5015264807254501 0.1
1988 0.007487645602305762 0.49098737698521433 0.5015249774124798 0.1
1989 0.007480306627954265 0.49099621707057767 0.5015234763014681 0.1
1990 0.007472978353718024 0.4910050442581271 0.501521977388155 0.1
1991 0.007465660758961568 0.4910138585727482 0.5015204806682904 0.1
1992 0.007458353823098791 0.49102266003926665 0.5015189861376346 0.1
1993 0.007451057525592829 0.49103144868244875 0.5015174937919585 0.1
1994 0.0074437718459558965 0.4910402245270018 0.5015160036270423 0.1
1995 0.00743649676374917 0.4910489875975741 0.5015145156386767 0.1
1996 0.007429232258582638 0.49105773791875457 0.5015130298226628 0.1
