mass br_wb br_zt br_ht s_u_r s_d_r
381 0.056132245806613745 0.2212411433070222 0.722626610886364 0.4 0.4
382 0.05606432004303949 0.22194939270398475 0.7219862872529759 0.4 0.4
383 0.055998621793749453 0.22265828743520877 0.7213430907710418 0.4 0.4
384 0.05593507673836422 0.22336771307154835 0.7206972101900874 0.4 0.4
385 0.05587361359535567 0.22407756011207705 0.7200488262925672 0.4 0.4
386 0.055814163969000706 0.22478772373825834 0.7193981122927411 0.4 0.4
387 0.0557566622055816 0.22549810358311878 0.7187452342112995 0.4 0.4
388 0.05570104525818278 0.22620860351434907 0.7180903512274682 0.4 0.4
389 0.055647252559482545 0.22691913143033823 0.7174336160101792 0.4 0.4
390 0.055595225901989696 0.22762959906823574 0.7167751750297746 0.4 0.4
391 0.05554490932521492 0.22833992182319934 0.7161151688515857 0.4 0.4
392 0.05549624900930982 0.22905001857806345 0.7154537324126267 0.4 0.4
393 0.05544919317473966 0.22975981154271388 0.7147909952825466 0.4 0.4
394 0.055403691987590965 0.23046922610251705 0.7141270819098919 0.4 0.4
395 0.05535969747014443 0.23117819067519832 0.7134621118546572 0.4 0.4
396 0.05531716341637151 0.2318866365756117 0.7127962000080168 0.4 0.4
397 0.05527604531203781 0.23259449788788547 0.7121294568000767 0.4 0.4
398 0.055236300259120935 0.23330171134446648 0.7114619883964125 0.4 0.4
399 0.05519788690427003 0.23400821621161988 0.7107938968841102 0.4 0.4
400 0.05516076537105537 0.234713954180977 0.7101252804479675 0.4 0.4
401 0.05512489719577319 0.2354188692667504 0.7094562335374763 0.4 0.4
402 0.05509024526658802 0.23612290770826286 0.7087868470251492 0.4 0.4
403 0.05505677376581078 0.2368260178774665 0.7081172083567226 0.4 0.4
404 0.05502444811512251 0.23752815019114334 0.7074474016937341 0.4 0.4
405 0.05499323492356992 0.23822925702750783 0.7067775080489223 0.4 0.4
406 0.05496310193816791 0.23892929264694754 0.7061076054148846 0.4 0.4
407 0.05493401799695703 0.23962821311665614 0.7054377688863869 0.4 0.4
408 0.05490595298437352 0.2403259762389305 0.704768070776696 0.4 0.4
409 0.054878877788798505 0.24102254148291993 0.7040985807282816 0.4 0.4
410 0.054852764262162915 0.24171786991962746 0.7034293658182097 0.4 0.4
411 0.0548275851814913 0.24241192415997895 0.7027604906585299 0.4 0.4
412 0.05480331421227627 0.2431046682957852 0.7020920174919385 0.4 0.4
413 0.054779925873581735 0.24379606784343713 0.7014240062829812 0.4 0.4
414 0.05475739550477983 0.24448608969018018 0.70075651480504 0.4 0.4
415 0.05473569923383234 0.24517470204282807 0.7000895987233395 0.4 0.4
416 0.054714813947032766 0.2458618743787817 0.6994233116741856 0.4 0.4
417 0.05469471726013069 0.24654757739922928 0.6987577053406401 0.4 0.4
418 0.0546753874907648 0.24723178298441148 0.6980928295248238 0.4 0.4
419 0.054656803632135355 0.24791446415084115 0.6974287322170235 0.4 0.4
420 0.05463894532785106 0.2485955950103761 0.6967654596617728 0.4 0.4
421 0.05462179284788929 0.24927515073104675 0.696103056421064 0.4 0.4
422 0.054605327065612226 0.24995310749954952 0.6954415654348383 0.4 0.4
423 0.05458952943578485 0.2506294424853213 0.6947810280788939 0.4 0.4
424 0.05457438197354359 0.25130413380611183 0.6941214842203447 0.4 0.4
425 0.05455986723426832 0.25197716049498203 0.6934629722707497 0.4 0.4
426 0.05454596829431161 0.2526485024686555 0.6928055292370329 0.4 0.4
427 0.05453266873254365 0.2533181404971568 0.6921491907702996 0.4 0.4
428 0.05451995261267169 0.25398605617467224 0.691493991212656 0.4 0.4
429 0.054507804466296744 0.25465223189157665 0.6908399636421266 0.4 0.4
430 0.05449620927667152 0.2553166508075661 0.6901871399157623 0.4 0.4
431 0.05448515246312589 0.25597929682584786 0.6895355507110261 0.4 0.4
432 0.054474619866127366 0.25664015456833394 0.6888852255655387 0.4 0.4
433 0.05446459773294759 0.2572992093517931 0.6882361929152594 0.4 0.4
434 0.05445507270390497 0.2579564471649171 0.6875884801311778 0.4 0.4
435 0.05444603179915723 0.25861185464625686 0.6869421135545859 0.4 0.4
436 0.0544374624060182 0.2592654190629903 0.6862971185309914 0.4 0.4
437 0.0544293522667742 0.25991712829048463 0.6856535194427412 0.4 0.4
438 0.05442168946697782 0.26056697079261515 0.6850113397404071 0.4 0.4
439 0.05441446242419677 0.26121493560280945 0.6843706019729939 0.4 0.4
440 0.054407659877197215 0.26186101230578146 0.6837313278170213 0.4 0.4
441 0.054401270875542605 0.2625051910199296 0.6830935381045278 0.4 0.4
442 0.054395284769588756 0.26314746238036496 0.6824572528500462 0.4 0.4
443 0.05438969120085818 0.2637878175225469 0.681822491276595 0.4 0.4
444 0.05438448009277663 0.2644262480664964 0.6811892718407271 0.4 0.4
445 0.05437964164175606 0.26506274610156516 0.680557612256679 0.4 0.4
446 0.05437516630860915 0.2656973041717352 0.6799275295196557 0.4 0.4
447 0.054371044810280766 0.2663299152614283 0.679299039928291 0.4 0.4
448 0.05436726811188298 0.2669605727818018 0.6786721591063153 0.4 0.4
449 0.05436382741902056 0.2675892705575138 0.6780469020234656 0.4 0.4
450 0.05436071417039502 0.2682160028139363 0.6774232830156688 0.4 0.4
451 0.05435792003067455 0.268840764164798 0.6768013158045274 0.4 0.4
452 0.054355436883620045 0.2694635496002414 0.6761810135161386 0.4 0.4
453 0.054353256825455415 0.27008435447527557 0.6755623886992691 0.4 0.4
454 0.05435137215847277 0.27070317449860964 0.6749454533429177 0.4 0.4
455 0.054349775384862534 0.27132000572185305 0.6743302188932845 0.4 0.4
456 0.05434845920075931 0.2719348445290667 0.6737166962701739 0.4 0.4
457 0.054347416490495244 0.2725476876266509 0.6731048958828538 0.4 0.4
458 0.0543466403210514 0.2731585320335612 0.6724948276453875 0.4 0.4
459 0.05434612393670056 0.2737673750718328 0.6718865009914666 0.4 0.4
460 0.054345860753832916 0.27437421435740905 0.6712799248887579 0.4 0.4
461 0.054345844355957754 0.27497904779125726 0.6706751078527851 0.4 0.4
462 0.05434606848887377 0.27558187355076336 0.670072057960363 0.4 0.4
463 0.05434652705600252 0.2761826900813951 0.6694707828626024 0.4 0.4
464 0.05434721411387704 0.2767814960886239 0.668871289797499 0.4 0.4
465 0.0543481238677813 0.2773782905300941 0.6682735856021247 0.4 0.4
466 0.05434925066753317 0.27797307260803356 0.6676776767244332 0.4 0.4
467 0.05435058900340667 0.2785658417618949 0.6670835692346984 0.4 0.4
468 0.05435213350218738 0.2791565976612192 0.6664912688365935 0.4 0.4
469 0.05435387892335636 0.27974534019871544 0.6659007808779283 0.4 0.4
470 0.0543558201553976 0.2803320694835466 0.6653121103610558 0.4 0.4
471 0.05435795221222452 0.2809167858348166 0.6647252619529588 0.4 0.4
472 0.05436027022972071 0.28149948977525013 0.6641402399950291 0.4 0.4
473 0.05436276946239143 0.28208018202505797 0.6635570485125507 0.4 0.4
474 0.05436544528012079 0.28265886349598485 0.6629756912238943 0.4 0.4
475 0.054368293165031854 0.2832355352855282 0.66239617154944 0.4 0.4
476 0.05437130870844484 0.28381019867132756 0.6618184926202276 0.4 0.4
477 0.054374487607930656 0.2843828551057147 0.6612426572863547 0.4 0.4
478 0.05437782566445603 0.2849535062104212 0.6606686681251228 0.4 0.4
479 0.05438131877961683 0.28552215377143836 0.6600965274489448 0.4 0.4
480 0.05438496295295687 0.2860887997340227 0.6595262373130204 0.4 0.4
481 0.054388754279368456 0.2866534461978448 0.6589577995227867 0.4 0.4
482 0.05439268894657271 0.2872160954122736 0.6583912156411535 0.4 0.4
483 0.054396763232675865 0.28777674977179596 0.6578264869955283 0.4 0.4
484 0.0544009735037998 0.2883354118115622 0.657263614684638 0.4 0.4
485 0.054405316211783586 0.2888920842030579 0.6567025995851584 0.4 0.4
486 0.054409787891954 0.2894467697498967 0.6561434423581494 0.4 0.4
487 0.054414385160962093 0.2899994713837264 0.6555861434553115 0.4 0.4
488 0.05441910471468448 0.2905501921602529 0.6550307031250627 0.4 0.4
489 0.05442394332618615 0.2910989352553702 0.6544771214184436 0.4 0.4
490 0.05442889784374324 0.2916457039613974 0.6539253981948593 0.4 0.4
491 0.05443396518892376 0.2921905016834195 0.6533755331276568 0.4 0.4
492 0.054439142354724065 0.29273333193572587 0.65282752570955 0.4 0.4
493 0.05444442640375958 0.2932741983383483 0.6522813752578921 0.4 0.4
494 0.054449814466507616 0.2938131046136895 0.6517370809198028 0.4 0.4
495 0.05445530373960065 0.29435005458324537 0.6511946416771541 0.4 0.4
496 0.054460891484168474 0.29488505216441335 0.6506540563514182 0.4 0.4
497 0.05446657502422794 0.2954181013673873 0.6501153236083848 0.4 0.4
498 0.054472351745117734 0.29594920629213556 0.6495784419627467 0.4 0.4
499 0.05447821909197797 0.29647837112545894 0.6490434097825631 0.4 0.4
500 0.05448417456827239 0.2970056001381273 0.6485102252936004 0.4 0.4
501 0.05449021573435185 0.2975308976820918 0.6479788865835563 0.4 0.4
502 0.05449634020605807 0.29805426818777153 0.6474493916061704 0.4 0.4
503 0.05450254565336599 0.29857571616141043 0.6469217381852236 0.4 0.4
504 0.05450882979906404 0.29909524618250527 0.6463959240184307 0.4 0.4
505 0.054515190417470466 0.2996128629013001 0.6458719466812294 0.4 0.4
506 0.054521625333185046 0.3001285710363468 0.6453498036304681 0.4 0.4
507 0.054528132419874954 0.30064237537212873 0.6448294922079963 0.4 0.4
