mass s_L res ratio channel
896.2366305446812 0.49506024591774955 1 0.8829735339493018 31
660.0160517408888 0.14188576451517387 1 0.33504339890861046 31
1157.23495224813 0.09066491199056725 1 0.10541226985458035 31
1042.2448155841823 0.594473834989139 1 0.7587941515188049 31
935.2289741327585 0.3290521562436072 1 0.5319909303960644 31
947.3248886344826 0.8263232115624386 0 1.295646880616885 31
841.9963203413905 0.04955526694177115 1 0.09272850707746148 31
959.2504367507773 0.7490866871370707 0 1.1406188534510189 31
1073.5025922634077 0.5688321823062314 1 0.6859663884844462 31
905.7009129194041 0.3761975001172324 1 0.6581900319587254 31
653.0609175331905 0.6730967358769779 0 1.589423850610441 31
705.7142479830623 0.5247250850280566 0 1.2241012093756851 31
1088.3457761581737 0.6312720951039357 1 0.7418097567144991 31
724.478875304253 0.13211905961693937 1 0.29645626637068445 31
930.7199412957905 0.30284351896084094 1 0.4953621784149929 31
1081.270732067631 0.4278018992522147 1 0.5089103094130396 31
973.5802807339956 0.9146843166289325 0 1.3460554139502108 31
1135.641810986941 0.5492767481309697 1 0.6363972633802577 31
717.320242042348 0.01886075686719446 1 0.04294579241237579 31
737.9787554943347 0.5009055931568139 0 1.09393986010204 31
1110.359148802831 0.9106190962475311 0 1.0507680677331814 31
764.2948350699482 0.025145152557399242 1 0.05219736416769542 31
1093.0847615817647 0.06529733694822093 1 0.07611011723542065 31
1189.1593630667016 0.24116639543249851 1 0.2818500035037052 31
1111.1430428547023 0.30935023749466595 1 0.3570057772980459 31
902.3403042354958 0.9249562830408754 0 1.633567971335211 31
1044.7329813526978 0.7374532264758351 1 0.9369352240185751 31
693.1248005928715 0.8044440172246127 0 1.8995820946773485 31
646.27207956695 0.49050911772213224 0 1.1582687139816024 31
618.6031899085901 0.8319853801494786 0 1.964617173259428 31
643.2142626906359 0.6335480613564498 0 1.4960351841789257 31
849.750258687698 0.11252668238289298 1 0.20909263324141247 31
1146.1409615414568 0.1470470016331602 1 0.1706589829545325 31
1073.0161228983852 0.0789231834996369 1 0.0952569587426177 31
1100.3161078837004 0.35236191428463826 1 0.40593749502595716 31
1089.863505600635 0.9871490384874739 0 1.1569786068384162 31
664.2226906890587 0.34241387222874164 1 0.8085624937567802 31
661.6764864715076 0.9633166279520688 0 2.2747375563510173 31
782.0787905208331 0.738791948891676 0 1.483984354448082 31
699.9178652287221 0.3205135824183458 1 0.7568480207775411 31
1011.3472867606208 0.7766756370642262 0 1.0521541340778726 31
1002.3189179149904 0.3302935040071857 1 0.4556093162589951 31
681.9436686522719 0.5071078131107882 0 1.1974642128356767 31
1026.5858832674558 0.3144354095230587 1 0.41345708000944653 31
1086.7189508314982 0.9906807636799786 0 1.1674217645944864 31
664.3198778219379 0.11821653149262124 1 0.27915181381172877 31
1002.4437859226151 0.16720750984805144 1 0.2305890915836183 31
1066.7560563016775 0.04597575230322415 1 0.05611195414728685 31
782.2493181858594 0.9804942641278844 0 1.9688719797982468 31
755.7894657641006 0.9781036656791866 0 2.063392989647118 31
859.4547557636024 0.256308010053406 1 0.4721392629148697 31
959.0149810294049 0.5908169455719582 1 0.9001380860456497 31
978.0608339461392 0.54990992413119 1 0.8008521024385064 31
946.4299853966759 0.9620630017884597 0 1.5118564938033432 31
1154.531551121565 0.34459178745064256 1 0.4004671538929429 31
1059.4035539821846 0.1757548060458768 1 0.2173609027979907 31
683.211970293254 0.7219794870156878 0 1.7048536341795006 31
924.3101627918504 0.14332119851074143 1 0.23840668187119748 31
879.9562115491367 0.7109759950049025 0 1.28615591152765 31
657.5384756314003 0.14911548285564447 1 0.3521153681383646 31
732.8639416422236 0.6537874664230439 0 1.4424191672897926 31
1186.6175298053122 0.15067229266933702 1 0.17601720838775295 31
679.4892509736328 0.7067458989289384 0 1.668881645392617 31
1122.3744306834387 0.26861034053818067 1 0.31055010318790577 31
778.7417801458121 0.9422817833087069 0 1.9042907006944265 31
682.6316811550372 0.041683241153143924 1 0.09842914714663327 31
1009.0051961054406 0.8221720627929283 0 1.1189893429726951 31
636.7813998979786 0.045289438242866686 1 0.10694467746923897 31
957.905679951722 0.3060224156418826 1 0.4674965991167294 31
693.1273274093539 0.4051684567001558 1 0.9567486726186598 31
1038.5204664665189 0.758842980786467 1 0.9753905989677105 31
958.6368245686807 0.3446724007021329 1 0.5256066671467396 31
690.416838573269 0.34954465955091896 1 0.8254008512162504 31
708.9592670420606 0.37389357053979044 1 0.866293844627403 31
1041.7453282883203 0.9205818960727881 0 1.176141358464007 31
1146.1484749600852 0.25783545409197395 1 0.29923758579026477 31
1166.3215825612533 0.24769793344057822 1 0.28841201255661125 31
955.3174069912939 0.2278944661388317 1 0.35034741120891366 31
844.2958134214576 0.9627647528766752 0 1.797793488376866 31
710.0873745553524 0.9679862089883942 0 2.2374803916008004 31
1199.0269060781725 0.45662647828628844 1 0.5345150707841316 31
827.6842058631307 0.8968037160945806 0 1.700156809160663 31
1148.3393707464184 0.21045793473775043 1 0.24433885233930655 31
1009.453334743431 0.5271237170685681 1 0.7167832910342636 31
1146.295026997118 0.7145909844270879 1 0.8293566287436782 31
723.3149920547964 0.27814710186980085 1 0.625602444420464 31
724.9387346662977 0.45059418949894936 0 1.0101246205837076 31
900.7669163496375 0.21329747144412026 1 0.3783776266899745 31
926.2896055140595 0.8048928060017335 0 1.3319179895659934 31
914.0233241584615 0.4353999741693022 1 0.7445268531232879 31
1006.752940952515 0.6665154865002091 1 0.9112307089074013 31
702.3399135848556 0.6506575492050504 0 1.5287842408195174 31
1163.8050501222299 0.8278638071522836 1 0.9635467309720935 31
682.6194173912035 0.8585981904734418 0 2.027459604675422 31
1135.4366667188428 0.7422041347869055 1 0.8598963226354821 31
1076.9981721940085 0.9441212172405152 0 1.1315466036149282 31
1194.5361130783735 0.22328935381624948 1 0.26118561451581285 31
1036.667105837877 0.12261110480025095 1 0.1581520827927351 31
740.7775542158471 0.9409265409538575 0 2.0435959427098154 31
