mass br_wb br_zt br_ht s_l
394 0.5190443517419567 0.13359614259189137 0.34735950566615187 0.1
395 0.5186540159662757 0.13401274692156506 0.3473332371121593 0.1
396 0.518271777002049 0.13442764512515584 0.34730057787279517 0.1
397 0.5178974305008998 0.13484083747707526 0.347261732022025 0.1
398 0.5175307785888827 0.13525232455184696 0.34721689685927026 0.1
399 0.5171716296122656 0.13566210721006117 0.3471662631776734 0.1
400 0.5168197978953829 0.13607018658503822 0.3471100155195788 0.1
401 0.5164751035098862 0.13647656407015918 0.3470483324199546 0.1
402 0.5161373720547553 0.1368812413068221 0.34698138663842254 0.1
403 0.5158064344464856 0.13728422017298908 0.3469093453805253 0.1
404 0.5154821267188879 0.1376855027722875 0.3468323705088246 0.1
405 0.5151642898319904 0.13808509142363448 0.3467506187443752 0.1
406 0.5148527694895485 0.13848298865135494 0.3466642418590966 0.1
407 0.5145474159647095 0.13887919717576414 0.3465733868595262 0.1
408 0.5142480839334032 0.13927371990418932 0.34647819616240755 0.1
409 0.5139546323150499 0.13966655992240612 0.34637880776254404 0.1
410 0.5136669241202171 0.14005772048646636 0.34627535539331655 0.1
411 0.5133848263048578 0.140447205014897 0.3461679686802453 0.1
412 0.513108209630803 0.14083501708124826 0.3460567732879488 0.1
413 0.5128369485321884 0.1412211604069754 0.345941891060836 0.1
414 0.5125709209875223 0.14160563885463273 0.345823440157845 0.1
415 0.5123100083971087 0.14198845642136673 0.3457015351815245 0.1
416 0.5120540954655691 0.14236961723269118 0.34557628730173967 0.1
417 0.5118030700892077 0.1427491255365297 0.34544780437426265 0.1
418 0.5115568232479875 0.14312698569751317 0.34531619105449923 0.1
419 0.511315248901897 0.1435032021915185 0.34518154890658453 0.1
420 0.5110782438914947 0.1438777796004364 0.345043976508069 0.1
421 0.5108457078424357 0.14425072260715763 0.3449035695504067 0.1
422 0.5106175430737929 0.14462203599076653 0.34476042093544057 0.1
423 0.5103936545099945 0.14499172462193208 0.3446146208680734 0.1
424 0.5101739495962117 0.1453597934584867 0.3444662569453017 0.1
425 0.5099583382170368 0.145726247541184 0.3443154142417792 0.1
426 0.5097467326183027 0.14609109198962747 0.3441621753920699 0.1
427 0.5095390473319003 0.14645433199836125 0.34400662066973847 0.1
428 0.5093351991034591 0.1468159728331164 0.3438488280634245 0.1
429 0.5091351068227642 0.1471760198272048 0.3436888733500309 0.1
430 0.5089386914567867 0.14753447837805478 0.3435268301651587 0.1
431 0.5087458759852131 0.14789135394388084 0.343362770070906 0.1
432 0.5085565853383656 0.14824665204048362 0.34319676262115084 0.1
433 0.5083707463374065 0.14860037823817132 0.34302887542442206 0.1
434 0.5081882876367322 0.1489525381588004 0.3428591742044674 0.1
435 0.5080091396684577 0.14930313747292842 0.3426877228586139 0.1
