#mT Tbq_005 Tbq_01 Tbq_02 Tbq_03
684.5 0.5914250000000001 1.1834274999999999 2.355025 3.4888749999999997
685.0 0.5897500000000001 1.180075 2.34825 3.47875
685.5 0.5880750000000001 1.1767225 2.341475 3.468625
686.0 0.5864 1.1733699999999998 2.3346999999999998 3.4585
686.5 0.584725 1.1700175 2.327925 3.448375
687.0 0.5830500000000001 1.1666649999999998 2.32115 3.43825
687.5 0.5813750000000001 1.1633125 2.314375 3.4281249999999996
688.0 0.5797000000000001 1.1599599999999999 2.3076 3.4179999999999997
688.5 0.5780250000000001 1.1566074999999998 2.3008249999999997 3.4078749999999998
689.0 0.5763500000000001 1.153255 2.29405 3.39775
689.5 0.574675 1.1499025 2.287275 3.387625
690.0 0.5730000000000001 1.14655 2.2805 3.3775
690.5 0.5713250000000001 1.1431974999999999 2.2737249999999998 3.367375
691.0 0.5696500000000001 1.139845 2.26695 3.3572499999999996
691.5 0.5679750000000001 1.1364925 2.260175 3.3471249999999997
692.0 0.5663 1.13314 2.2534 3.3369999999999997
692.5 0.5646250000000002 1.1297875 2.246625 3.326875
693.0 0.5629500000000001 1.1264349999999999 2.23985 3.31675
693.5 0.5612750000000001 1.1230825 2.233075 3.306625
694.0 0.5596000000000001 1.11973 2.2263 3.2965
694.5 0.5579250000000001 1.1163775 2.219525 3.2863749999999996
695.0 0.5562500000000001 1.113025 2.2127499999999998 3.2762499999999997
695.5 0.554575 1.1096724999999998 2.205975 3.2661249999999997
696.0 0.5529000000000001 1.10632 2.1992 3.256
696.5 0.5512250000000001 1.1029674999999999 2.192425 3.245875
697.0 0.5495500000000001 1.099615 2.18565 3.23575
697.5 0.5478750000000001 1.0962625 2.178875 3.225625
698.0 0.5462 1.0929099999999998 2.1721 3.2154999999999996
698.5 0.5445250000000001 1.0895575 2.165325 3.2053749999999996
699.0 0.54285 1.0862049999999999 2.15855 3.1952499999999997
699.5 0.5411750000000001 1.0828525 2.1517749999999998 3.1851249999999998
700.0 0.5395000000000001 1.0795 2.145 3.175
700.5 0.5378250000000001 1.0761474999999998 2.138225 3.164875
701.0 0.5361500000000001 1.072795 2.13145 3.15475
701.5 0.534475 1.0694424999999999 2.124675 3.144625
702.0 0.5328 1.06609 2.1179 3.1344999999999996
702.5 0.5311250000000001 1.0627375 2.111125 3.1243749999999997
703.0 0.5294500000000001 1.059385 2.10435 3.1142499999999997
703.5 0.5277750000000001 1.0560325 2.097575 3.104125
704.0 0.5261000000000001 1.0526799999999998 2.0908 3.094
704.5 0.524425 1.0493275 2.084025 3.083875
705.0 0.52275 1.0459749999999999 2.0772500000000003 3.07375
705.5 0.5210750000000001 1.0426225 2.070475 3.0636249999999996
706.0 0.5194000000000001 1.03927 2.0637 3.0534999999999997
706.5 0.5177250000000001 1.0359174999999998 2.056925 3.0433749999999997
707.0 0.5160500000000001 1.032565 2.05015 3.03325
707.5 0.514375 1.0292124999999999 2.043375 3.023125
708.0 0.5127 1.02586 2.0366 3.013
708.5 0.5110250000000001 1.0225075 2.029825 3.002875
709.0 0.5093500000000001 1.019155 2.02305 2.99275
709.5 0.5076750000000001 1.0158025 2.0162750000000003 2.9826249999999996
710.0 0.5060000000000001 1.0124499999999999 2.0095 2.9724999999999997
710.5 0.504325 1.0090975 2.002725 2.9623749999999998
711.0 0.50265 1.005745 1.9959500000000001 2.95225
711.5 0.5009750000000001 1.0023925 1.9891750000000001 2.942125
712.0 0.4993000000000001 0.9990399999999999 1.9824000000000002 2.932
712.5 0.4976250000000001 0.9956875 1.975625 2.921875
713.0 0.49595000000000006 0.992335 1.96885 2.9117499999999996
713.5 0.4942750000000001 0.9889825 1.962075 2.9016249999999997
714.0 0.49260000000000004 0.98563 1.9553 2.8914999999999997
714.5 0.49092500000000006 0.9822774999999999 1.948525 2.881375
715.0 0.4892500000000001 0.9789249999999999 1.94175 2.87125
715.5 0.4875750000000001 0.9755725 1.9349750000000001 2.861125
716.0 0.48590000000000005 0.97222 1.9282000000000001 2.851
716.5 0.48422500000000007 0.9688675 1.9214250000000002 2.8408749999999996
717.0 0.48255000000000003 0.9655149999999999 1.91465 2.8307499999999997
717.5 0.48087500000000005 0.9621624999999999 1.9078750000000002 2.8206249999999997
718.0 0.47920000000000007 0.9588099999999999 1.9011 2.8104999999999998
718.5 0.47752500000000003 0.9554575 1.894325 2.800375
719.0 0.47585000000000005 0.952105 1.88755 2.79025
719.5 0.47417500000000007 0.9487525 1.880775 2.780125
720.0 0.47250000000000003 0.9454 1.874 2.7699999999999996
720.5 0.47082500000000005 0.9420474999999999 1.8672250000000001 2.7598749999999996
721.0 0.46915000000000007 0.938695 1.8604500000000002 2.7497499999999997
721.5 0.4674750000000001 0.9353425 1.8536750000000002 2.7396249999999998
722.0 0.46580000000000005 0.93199 1.8469000000000002 2.7295
722.5 0.46412500000000007 0.9286375 1.840125 2.719375
723.0 0.46245 0.925285 1.83335 2.70925
723.5 0.46077500000000005 0.9219325 1.826575 2.6991249999999996
724.0 0.45910000000000006 0.91858 1.8198 2.6889999999999996
