#mT Tbq kappa
1036.5 0.03335 0.2
1037.0 0.033299999999999996 0.2
1037.5 0.03325 0.2
1038.0 0.0332 0.2
1038.5 0.03315 0.2
1039.0 0.0331 0.2
1039.5 0.033049999999999996 0.2
1040.0 0.033 0.2
1040.5 0.03295 0.2
1041.0 0.0329 0.2
1041.5 0.03285 0.2
1042.0 0.032799999999999996 0.2
1042.5 0.03275 0.2
1043.0 0.0327 0.2
1043.5 0.03265 0.2
1044.0 0.0326 0.2
1044.5 0.032549999999999996 0.2
1045.0 0.0325 0.2
1045.5 0.03245 0.2
1046.0 0.0324 0.2
1046.5 0.03235 0.2
1047.0 0.032299999999999995 0.2
1047.5 0.03225 0.2
1048.0 0.0322 0.2
1048.5 0.03215 0.2
1049.0 0.0321 0.2
1049.5 0.032049999999999995 0.2
1050.0 0.032 0.2
1050.5 0.03195 0.2
1051.0 0.0319 0.2
1051.5 0.031849999999999996 0.2
1052.0 0.031799999999999995 0.2
1052.5 0.03175 0.2
1053.0 0.0317 0.2
1053.5 0.03165 0.2
1054.0 0.031599999999999996 0.2
1054.5 0.03155 0.2
1055.0 0.0315 0.2
1055.5 0.03145 0.2
1056.0 0.0314 0.2
1056.5 0.031349999999999996 0.2
1057.0 0.0313 0.2
1057.5 0.03125 0.2
1058.0 0.0312 0.2
1058.5 0.031149999999999997 0.2
1059.0 0.0311 0.2
1059.5 0.031049999999999998 0.2
1060.0 0.031 0.2
1060.5 0.03095 0.2
1061.0 0.030899999999999997 0.2
1061.5 0.03085 0.2
1062.0 0.030799999999999998 0.2
1062.5 0.03075 0.2
1063.0 0.030699999999999998 0.2
1063.5 0.030649999999999997 0.2
1064.0 0.0306 0.2
1064.5 0.03055 0.2
1065.0 0.0305 0.2
1065.5 0.030449999999999998 0.2
1066.0 0.0304 0.2
1066.5 0.03035 0.2
1067.0 0.0303 0.2
1067.5 0.03025 0.2
1068.0 0.030199999999999998 0.2
1068.5 0.03015 0.2
1069.0 0.0301 0.2
1069.5 0.03005 0.2
1070.0 0.03 0.2
1070.5 0.029949999999999997 0.2
1071.0 0.0299 0.2
1071.5 0.029849999999999998 0.2
1072.0 0.0298 0.2
1072.5 0.02975 0.2
1073.0 0.029699999999999997 0.2
1073.5 0.02965 0.2
1074.0 0.029599999999999998 0.2
1074.5 0.02955 0.2
1075.0 0.0295 0.2
1075.5 0.029449999999999997 0.2
1076.0 0.0294 0.2
1076.5 0.029349999999999998 0.2
1077.0 0.0293 0.2
1077.5 0.029249999999999998 0.2
1078.0 0.029199999999999997 0.2
1078.5 0.02915 0.2
1079.0 0.0291 0.2
1079.5 0.02905 0.2
1080.0 0.028999999999999998 0.2
